age,education,marital.status,race,sex,income
90,HS-grad,Widowed,White,Female,<=50K
82,HS-grad,Widowed,White,Female,<=50K
34,HS-grad,Divorced,White,Female,<=50K
68,HS-grad,Divorced,White,Female,<=50K
61,HS-grad,Divorced,White,Female,<=50K
61,HS-grad,Married-civ-spouse,White,Male,<=50K
60,HS-grad,Never-married,Black,Male,>50K
53,HS-grad,Never-married,White,Male,>50K
71,HS-grad,Married-civ-spouse,White,Male,<=50K
71,HS-grad,Married-civ-spouse,White,Male,<=50K
73,HS-grad,Married-civ-spouse,Asian-Pac-Islander,Male,<=50K
50,HS-grad,Widowed,White,Female,>50K
47,HS-grad,Married-civ-spouse,White,Male,>50K
31,HS-grad,Married-civ-spouse,White,Female,>50K
49,HS-grad,Married-civ-spouse,White,Female,>50K
36,HS-grad,Married-civ-spouse,White,Male,<=50K
23,HS-grad,Married-civ-spouse,White,Male,<=50K
81,HS-grad,Married-civ-spouse,White,Male,>50K
71,HS-grad,Married-civ-spouse,White,Male,>50K
52,HS-grad,Married-civ-spouse,Black,Male,<=50K
35,HS-grad,Married-civ-spouse,White,Male,<=50K
61,HS-grad,Married-civ-spouse,White,Male,<=50K
65,HS-grad,Married-civ-spouse,White,Male,<=50K
59,HS-grad,Widowed,White,Male,<=50K
59,HS-grad,Separated,Black,Female,<=50K
41,HS-grad,Divorced,White,Male,<=50K
42,HS-grad,Never-married,Black,Female,<=50K
66,HS-grad,Married-civ-spouse,White,Male,<=50K
57,HS-grad,Never-married,White,Male,<=50K
33,HS-grad,Divorced,White,Male,<=50K
39,HS-grad,Never-married,White,Male,>50K
27,HS-grad,Never-married,White,Male,<=50K
36,HS-grad,Never-married,White,Male,<=50K
45,HS-grad,Divorced,White,Male,>50K
48,HS-grad,Divorced,White,Female,>50K
55,HS-grad,Married-civ-spouse,White,Female,>50K
31,HS-grad,Separated,White,Female,<=50K
90,HS-grad,Never-married,Black,Male,<=50K
68,HS-grad,Widowed,White,Female,<=50K
65,HS-grad,Divorced,White,Female,<=50K
65,HS-grad,Widowed,White,Female,<=50K
38,HS-grad,Divorced,White,Male,<=50K
63,HS-grad,Divorced,White,Female,<=50K
34,HS-grad,Married-civ-spouse,White,Female,<=50K
45,HS-grad,Married-civ-spouse,White,Male,<=50K
29,HS-grad,Married-civ-spouse,White,Female,<=50K
41,HS-grad,Married-civ-spouse,White,Male,<=50K
70,HS-grad,Married-civ-spouse,White,Male,>50K
65,HS-grad,Married-civ-spouse,White,Male,>50K
74,HS-grad,Married-civ-spouse,White,Male,<=50K
37,HS-grad,Married-civ-spouse,White,Male,<=50K
30,HS-grad,Married-civ-spouse,White,Male,<=50K
29,HS-grad,Married-civ-spouse,White,Female,<=50K
41,HS-grad,Married-civ-spouse,White,Male,<=50K
54,HS-grad,Married-civ-spouse,White,Male,<=50K
52,HS-grad,Married-civ-spouse,White,Male,<=50K
50,HS-grad,Married-civ-spouse,White,Male,<=50K
38,HS-grad,Married-civ-spouse,White,Male,<=50K
52,HS-grad,Married-civ-spouse,White,Male,<=50K
54,HS-grad,Married-civ-spouse,White,Male,<=50K
38,HS-grad,Married-civ-spouse,White,Male,<=50K
39,HS-grad,Married-civ-spouse,White,Male,<=50K
45,HS-grad,Married-civ-spouse,White,Male,<=50K
34,HS-grad,Married-civ-spouse,White,Male,<=50K
38,HS-grad,Married-civ-spouse,White,Male,<=50K
61,HS-grad,Married-civ-spouse,White,Male,<=50K
38,HS-grad,Married-civ-spouse,White,Male,<=50K
42,HS-grad,Married-civ-spouse,White,Male,<=50K
60,HS-grad,Married-civ-spouse,White,Male,<=50K
49,HS-grad,Married-civ-spouse,White,Male,<=50K
53,HS-grad,Married-civ-spouse,White,Male,<=50K
42,HS-grad,Married-civ-spouse,White,Male,<=50K
41,HS-grad,Married-civ-spouse,White,Male,<=50K
36,HS-grad,Married-civ-spouse,White,Female,<=50K
36,HS-grad,Married-civ-spouse,White,Male,<=50K
34,HS-grad,Married-civ-spouse,White,Male,<=50K
53,HS-grad,Married-civ-spouse,White,Male,<=50K
51,HS-grad,Married-civ-spouse,White,Male,<=50K
19,HS-grad,Never-married,White,Male,<=50K
30,HS-grad,Never-married,White,Male,<=50K
20,HS-grad,Never-married,White,Male,<=50K
20,HS-grad,Never-married,White,Male,<=50K
23,HS-grad,Never-married,Black,Male,<=50K
55,HS-grad,Separated,Black,Female,<=50K
54,HS-grad,Widowed,White,Male,<=50K
25,HS-grad,Never-married,White,Male,<=50K
24,HS-grad,Never-married,White,Female,<=50K
34,HS-grad,Never-married,Black,Male,<=50K
19,HS-grad,Never-married,White,Male,<=50K
48,HS-grad,Separated,White,Female,<=50K
31,HS-grad,Never-married,White,Male,<=50K
36,HS-grad,Never-married,Black,Female,<=50K
27,HS-grad,Never-married,White,Male,<=50K
27,HS-grad,Never-married,Black,Male,<=50K
